HIP	RA	DEC	Bayer	Cst
30717	0	0	     	Ori
30700	0	0	     	Mon
30720	0	0	     	Ori
30972	0	0	     	Aur
30883	0	0	nu.  	Gem
30772	0	0	     	Mon
30591	0	0	G    	Pup
30321	0	0	pi.01	Dor
30867	0	0	bet  	Mon
30788	0	0	lam  	CMa
31105	0	0	     	Gem
31173	0	0	WW   	Aur
31359	0	0	     	Lyn
30565	0	0	pi.02	Dor
31158	0	0	     	Gem
31159	0	0	     	Mon
31216	0	0	     	Mon
31125	0	0	ksi01	CMa
30932	0	0	     	Pic
31676	0	0	     	Lyn
31434	0	0	     	Aur
31665	0	0	     	Lyn
31385	0	0	     	Mon
31579	0	0	UU   	Aur
31525	0	0	     	Gem
31137	0	0	mu.  	Pic
31416	0	0	ksi02	CMa
31771	0	0	     	Aur
31789	0	0	psi03	Aur
31681	0	0	gam  	Gem
31564	0	0	nu.01	CMa
31737	0	0	     	Aur
31832	0	0	psi02	Aur
31592	0	0	nu.02	CMa
31407	0	0	N    	Car
31852	0	0	     	Aur
31700	0	0	nu.03	CMa
31685	0	0	nu.  	Pup
32019	0	0	     	Gem
31978	0	0	S    	Mon
32173	0	0	psi04	Aur
31765	0	0	Y    	Pup
32104	0	0	     	Gem
32438	0	0	     	Lyn
32246	0	0	eps  	Gem
32489	0	0	     	Lyn
32249	0	0	     	Gem
32311	0	0	     	Gem
32480	0	0	psi05	Aur
32362	0	0	ksi  	Gem
32562	0	0	psi06	Aur
32404	0	0	     	Gem
32864	0	0	     	Cam
32349	0	0	alf  	CMa
32292	0	0	     	CMa
32463	0	0	     	Mon
32533	0	0	     	Mon
32492	0	0	     	CMa
32578	0	0	     	Mon
32504	0	0	     	CMa
33104	0	0	     	Cam
32844	0	0	psi07	Aur
32537	0	0	x    	Pup
32753	0	0	     	Gem
33048	0	0	     	Lyn
32814	0	0	     	Gem
32531	0	0	O    	Car
32921	0	0	d    	Gem
32759	0	0	kap  	CMa
33041	0	0	     	Aur
33018	0	0	the  	Gem
33064	0	0	     	Aur
33133	0	0	psi08	Aur
32765	0	0	X    	Pup
32607	0	0	alf  	Pic
32768	0	0	tau  	Pup
32761	0	0	A    	Car
31897	0	0	zet  	Men
33449	0	0	     	Lyn
33202	0	0	e    	Gem
33377	0	0	psi09	Aur
33277	0	0	     	Gem
33092	0	0	     	CMa
33160	0	0	the  	CMa
33152	0	0	omi01	CMa
33485	0	0	     	Lyn
33248	0	0	     	CMa
33302	0	0	pi.  	CMa
33345	0	0	mu.  	CMa
33347	0	0	iot  	CMa
33614	0	0	     	Aur
33595	0	0	     	Gem
32912	0	0	iot  	Vol
33650	0	0	     	Gem
33715	0	0	     	Gem
33579	0	0	eps  	CMa
33558	0	0	t    	Pup
33927	0	0	ome  	Gem
33856	0	0	sig  	CMa
33971	0	0	     	Mon
34088	0	0	zet  	Gem
33779	0	0	     	Car
33977	0	0	omi02	CMa
34045	0	0	gam  	CMa
34182	0	0	     	Gem
34572	0	0	     	Lyn
34081	0	0	C    	Pup
34059	0	0	H    	Pup
34440	0	0	     	Gem
33384	0	0	the  	Men
34339	0	0	D    	Pup
34444	0	0	del  	CMa
34752	0	0	     	Aur
34693	0	0	tau  	Gem
34722	0	0	     	Gem
34622	0	0	     	Mon
34495	0	0	A    	Pup
34819	0	0	     	Gem
34724	0	0	     	Mon
34861	0	0	     	Gem
34769	0	0	del  	Mon
35146	0	0	     	Lyn
34909	0	0	     	Gem
34798	0	0	     	CMa
35025	0	0	     	Gem
34802	0	0	E    	Pup
34473	0	0	gam01	Vol
34481	0	0	gam02	Vol
35152	0	0	     	Gem
34834	0	0	I    	Pup
36547	0	0	VZ   	Cam
35080	0	0	     	Mon
34981	0	0	     	CMa
34899	0	0	L01  	Pup
34922	0	0	L02  	Pup
35037	0	0	ome  	CMa
35341	0	0	     	Aur
35350	0	0	lam  	Gem
35210	0	0	     	CMa
35735	0	0	     	Cam
35264	0	0	pi.  	Pup
35550	0	0	del  	Gem
35412	0	0	UW   	CMa
35415	0	0	tau  	CMa
35726	0	0	     	Lyn
35783	0	0	     	Lyn
35785	0	0	     	Lyn
35363	0	0	v01  	Pup
35487	0	0	R    	CMa
35347	0	0	M    	Pup
35406	0	0	v02  	Pup
35393	0	0	F    	Pup
35710	0	0	     	Aur
35699	0	0	     	Gem
35228	0	0	del  	Vol
35907	0	0	     	Aur
35846	0	0	A    	Gem
35842	0	0	     	Gem
35941	0	0	     	Gem
36145	0	0	     	Lyn
35987	0	0	     	CMi
36046	0	0	iot  	Gem
35904	0	0	eta  	CMa
36041	0	0	eps  	CMi
36156	0	0	     	Gem
36188	0	0	bet  	CMi
36238	0	0	     	Gem
36439	0	0	     	Lyn
36265	0	0	eta  	CMi
36366	0	0	rho  	Gem
36284	0	0	gam  	CMi
36393	0	0	     	Gem
36429	0	0	b    	Gem
36425	0	0	     	CMi
36363	0	0	y    	Pup
36521	0	0	U    	Mon
36377	0	0	sig  	Pup
36641	0	0	del01	CMi
36760	0	0	     	Gem
36723	0	0	del02	CMi
36850	0	0	alf  	Gem
36812	0	0	del03	CMi
36962	0	0	ups  	Gem
36817	0	0	n    	Pup
36778	0	0	z    	Pup
36039	0	0	eps  	Men
36917	0	0	p    	Pup
37204	0	0	     	Gem
37088	0	0	     	Mon
37406	0	0	     	Lyn
37265	0	0	omi  	Gem
36942	0	0	Q    	Car
37096	0	0	f    	Pup
37300	0	0	f    	Gem
37043	0	0	y02  	Pup
37279	0	0	alf  	CMi
37173	0	0	m    	Pup
37609	0	0	     	Lyn
37229	0	0	kap01	Pup
37223	0	0	e    	Pup
37174	0	0	y03  	Pup
37379	0	0	     	Pup
37297	0	0	d01  	Pup
37322	0	0	d02  	Pup
37329	0	0	d03  	Pup
37345	0	0	d04  	Pup
37447	0	0	alf  	Mon
37629	0	0	sig  	Gem
37949	0	0	     	Cam
37934	0	0	     	Cam
37704	0	0	c    	Gem
37740	0	0	kap  	Gem
37826	0	0	bet  	Gem
37811	0	0	     	Gem
37648	0	0	     	Pup
37677	0	0	l    	Pup
37664	0	0	W    	Pup
37908	0	0	g    	Gem
37921	0	0	     	CMi
37842	0	0	     	Pup
37843	0	0	     	Pup
38016	0	0	pi.  	Gem
37891	0	0	     	Pup
37819	0	0	c    	Pup
37853	0	0	     	Pup
38106	0	0	     	Gem
37504	0	0	zet  	Vol
38048	0	0	     	Pup
38070	0	0	omi  	Pup
38146	0	0	     	Pup
38211	0	0	     	Pup
38170	0	0	ksi  	Pup
38089	0	0	Q    	Pup
38164	0	0	P    	Pup
38373	0	0	zet  	CMi
38372	0	0	     	Pup
38382	0	0	     	Pup
38623	0	0	     	Lyn
38639	0	0	     	Lyn
38538	0	0	phi  	Gem
38427	0	0	     	Pup
38423	0	0	     	Pup
38414	0	0	a    	Pup
38455	0	0	b    	Pup
38722	0	0	     	Gem
38518	0	0	J    	Pup
38848	0	0	     	Cnc
38835	0	0	j    	Pup
39261	0	0	     	Cam
38962	0	0	     	CMi
38901	0	0	chi  	Pup
38872	0	0	N    	Pup
38827	0	0	chi  	Car
39348	0	0	     	Cam
38917	0	0	O    	Pup
39079	0	0	     	Mon
39023	0	0	     	Pup
39191	0	0	ome  	Cnc
39177	0	0	     	Cnc
38957	0	0	V    	Pup
39263	0	0	     	Cnc
39236	0	0	     	Cnc
39211	0	0	     	Mon
39311	0	0	G    	CMi
39424	0	0	chi  	Gem
39138	0	0	D    	Car
39567	0	0	     	Cnc
39429	0	0	zet  	Pup
39722	0	0	     	Lyn
39524	0	0	     	Pup
39659	0	0	     	Cnc
39847	0	0	     	Lyn
39780	0	0	mu.  	Cnc
40215	0	0	     	Cam
39874	0	0	     	Cnc
39757	0	0	rho  	Pup
39863	0	0	zet  	Mon
40007	0	0	psi01	Cnc
40023	0	0	psi  	Cnc
39906	0	0	     	Pup
40035	0	0	     	Pup
40167	0	0	zet02	Cnc
40167	0	0	zet01	Cnc
39953	0	0	gam02	Vel
40084	0	0	     	Pup
40240	0	0	     	Cnc
39903	0	0	B    	Car
40474	0	0	     	Cam
39794	0	0	eps  	Vol
40091	0	0	h01  	Pup
40259	0	0	     	Pup
40155	0	0	AH   	Vel
40646	0	0	     	Lyn
40274	0	0	r    	Pup
40326	0	0	h02  	Pup
40772	0	0	     	Cam
40282	0	0	     	Vel
40526	0	0	bet  	Cnc
40875	0	0	     	Lyn
40604	0	0	     	Pup
40429	0	0	C    	Car
40843	0	0	chi  	Cnc
40881	0	0	lam  	Cnc
40706	0	0	q    	Pup
41075	0	0	     	Lyn
40945	0	0	w    	Pup
41117	0	0	d01  	Cnc
41067	0	0	     	Pup
41163	0	0	     	Cnc
41039	0	0	B    	Vel
41211	0	0	     	Hya
41319	0	0	d02  	Cnc
40817	0	0	kap01	Vol
40834	0	0	kap02	Vol
41377	0	0	phi01	Cnc
41037	0	0	eps  	Car
41404	0	0	phi02	Cnc
41389	0	0	     	Cnc
41307	0	0	C    	Hya
40702	0	0	alf  	Cha
41400	0	0	     	Cnc
41375	0	0	     	Hya
41704	0	0	omi  	UMa
41574	0	0	     	Cnc
41578	0	0	     	Cnc
41003	0	0	eta  	Vol
40888	0	0	the  	Cha
41312	0	0	bet  	Vol
41483	0	0	F    	Vel
42080	0	0	A    	UMa
41816	0	0	ups01	Cnc
41822	0	0	the  	Cnc
41616	0	0	A    	Vel
41975	0	0	     	Lyn
41909	0	0	eta  	Cnc
41940	0	0	ups02	Cnc
41904	0	0	     	Cnc
42090	0	0	     	Lyn
42133	0	0	     	Cnc
42438	0	0	pi.01	UMa
42146	0	0	     	Hya
42527	0	0	pi.02	UMa
42265	0	0	c    	Cnc
42088	0	0	C    	Vel
42313	0	0	del  	Hya
42353	0	0	     	Cnc
42177	0	0	E    	Vel
42134	0	0	e02  	Car
42129	0	0	e01  	Car
42402	0	0	sig  	Hya
42334	0	0	eta  	Pyx
42485	0	0	     	Cnc
42604	0	0	     	Lyn
42312	0	0	e    	Vel
42516	0	0	     	Cnc
42523	0	0	     	Cnc
42556	0	0	eps  	Cnc
42578	0	0	     	Cnc
42509	0	0	a    	Hya
42483	0	0	zet  	Pyx
42515	0	0	bet  	Pyx
42662	0	0	     	Hya
42570	0	0	b    	Vel
42536	0	0	omi  	Vel
42806	0	0	gam  	Cnc
42795	0	0	A01  	Cnc
42624	0	0	n    	Vel
42799	0	0	eta  	Hya
42568	0	0	d    	Car
42835	0	0	F    	Hya
42425	0	0	the  	Vol
42911	0	0	del  	Cnc
42954	0	0	     	Cnc
42917	0	0	b    	Cnc
42828	0	0	alf  	Pyx
42931	0	0	     	Hya
43100	0	0	iot  	Cnc
43103	0	0	iot  	Cnc
42834	0	0	D    	Vel
42884	0	0	d    	Vel
43121	0	0	A02  	Cnc
43109	0	0	eps  	Hya
43067	0	0	D    	Hya
42913	0	0	del  	Vel
43023	0	0	a    	Vel
43234	0	0	rho  	Hya
43105	0	0	f    	Car
43305	0	0	     	Hya
42637	0	0	eta  	Cha
43644	0	0	b    	UMa
43531	0	0	     	Lyn
43454	0	0	     	Cnc
43463	0	0	     	Cnc
43325	0	0	h    	Vel
43409	0	0	gam  	Pyx
43584	0	0	sig01	Cnc
43347	0	0	g    	Vel
43575	0	0	     	Cnc
43587	0	0	rho01	Cnc
43496	0	0	     	Hya
42794	0	0	     	Cha
43413	0	0	f    	Vel
43903	0	0	     	UMa
43721	0	0	     	Cnc
43834	0	0	rho02	Cnc
43811	0	0	X    	Cnc
43813	0	0	zet  	Hya
43851	0	0	     	Cnc
43822	0	0	     	Hya
43932	0	0	sig02	Cnc
43825	0	0	del  	Pyx
43970	0	0	omi01	Cnc
44031	0	0	     	Cnc
44001	0	0	omi02	Cnc
44127	0	0	iot  	UMa
43783	0	0	c    	Car
44066	0	0	alf  	Cnc
43878	0	0	H    	Vel
44154	0	0	sig03	Cnc
44390	0	0	rho  	UMa
44248	0	0	     	UMa
43937	0	0	b01  	Car
44307	0	0	     	Cnc
44342	0	0	     	Cnc
44191	0	0	w    	Vel
44471	0	0	kap  	UMa
44405	0	0	nu.  	Cnc
44143	0	0	b02  	Car
44512	0	0	     	Cnc
44857	0	0	sig01	UMa
44659	0	0	ome  	Hya
44511	0	0	c    	Vel
44382	0	0	alf  	Vol
45038	0	0	sig02	UMa
44901	0	0	f    	UMa
44818	0	0	tau  	Cnc
44798	0	0	kap  	Cnc
44838	0	0	     	Cnc
45075	0	0	tau  	UMa
44892	0	0	     	Cnc
44946	0	0	ksi  	Cnc
44824	0	0	kap  	Pyx
44883	0	0	     	Hya
44816	0	0	lam  	Vel
45058	0	0	RS   	Cnc
45033	0	0	     	Cnc
44961	0	0	     	Hya
44626	0	0	E    	Car
44599	0	0	G    	Car
45001	0	0	eps  	Pyx
45153	0	0	     	Cnc
45333	0	0	c    	UMa
45170	0	0	     	Cnc
45290	0	0	     	Lyn
45184	0	0	     	Hya
45080	0	0	a    	Car
45455	0	0	     	UMa
45493	0	0	e    	UMa
45101	0	0	i    	Car
45336	0	0	the  	Hya
45410	0	0	pi.  	Cnc
45344	0	0	z    	Vel
45386	0	0	k01  	Vel
43908	0	0	zet  	Oct
45527	0	0	     	Hya
45439	0	0	l    	Vel
45526	0	0	     	Hya
45448	0	0	k    	Vel
45238	0	0	bet  	Car
45688	0	0	     	Lyn
45588	0	0	     	Hya
45699	0	0	     	Cnc
45496	0	0	g    	Car
45836	0	0	     	Lyn
45556	0	0	iot  	Car
45631	0	0	K    	Vel
45860	0	0	alf  	Lyn
45751	0	0	     	Hya
45811	0	0	P    	Hya
45902	0	0	the  	Pyx
45856	0	0	k    	Car
46146	0	0	kap  	Leo
46026	0	0	lam  	Pyx
45941	0	0	kap  	Vel
46221	0	0	     	Hya
46471	0	0	     	Lyn
46365	0	0	     	Hya
46390	0	0	alf  	Hya
46371	0	0	G    	Hya
46283	0	0	I    	Vel
46454	0	0	ome  	Leo
46457	0	0	     	Leo
46733	0	0	h    	UMa
46509	0	0	tau01	Hya
46652	0	0	     	LMi
46515	0	0	eps  	Ant
47013	0	0	     	UMa
46735	0	0	     	LMi
46977	0	0	d    	UMa
46750	0	0	lam  	Leo
46853	0	0	the  	UMa
46774	0	0	h    	Leo
46657	0	0	zet01	Ant
46771	0	0	ksi  	Leo
46651	0	0	psi  	Vel
46776	0	0	tau02	Hya
46734	0	0	zet02	Ant
46904	0	0	     	LMi
46107	0	0	iot  	Cha
47006	0	0	     	UMa
46952	0	0	     	LMi
46701	0	0	N    	Vel
46982	0	0	A    	Hya
47080	0	0	     	LMi
47096	0	0	     	Leo
46950	0	0	L    	Vel
46741	0	0	H    	Car
46974	0	0	h    	Car
47189	0	0	     	Leo
47205	0	0	     	Leo
47247	0	0	     	Leo
47300	0	0	     	Lyn
47266	0	0	     	Leo
47249	0	0	     	Hya
47310	0	0	     	Sex
47175	0	0	M    	Vel
47654	0	0	     	UMa
47267	0	0	y    	Vel
47431	0	0	iot  	Hya
47427	0	0	     	Hya
47452	0	0	kap  	Hya
47570	0	0	     	Lyn
47508	0	0	omi  	Leo
47550	0	0	     	Leo
47391	0	0	m    	Car
47631	0	0	     	LMi
47522	0	0	I    	Hya
46928	0	0	zet  	Cha
47701	0	0	f    	Leo
47911	0	0	     	UMa
47723	0	0	psi  	Leo
47965	0	0	     	Lyn
47758	0	0	the  	Ant
47908	0	0	eps  	Leo
47973	0	0	     	LMi
47717	0	0	O    	Vel
47959	0	0	     	Leo
48029	0	0	     	Leo
48113	0	0	     	LMi
47854	0	0	l    	Car
48319	0	0	ups  	UMa
48256	0	0	     	LMi
48218	0	0	     	Leo
48002	0	0	ups  	Car
48273	0	0	     	Sex
48402	0	0	phi  	UMa
48324	0	0	     	Leo
48224	0	0	u    	Vel
48341	0	0	     	Sex
48390	0	0	g    	Leo
47956	0	0	nu.  	Cha
48356	0	0	ups01	Hya
48455	0	0	mu.  	Leo
48414	0	0	     	Sex
48437	0	0	gam  	Sex
48374	0	0	m    	Vel
48552	0	0	     	Sex
48682	0	0	     	UMa
48742	0	0	     	LMi
48833	0	0	     	LMi
48883	0	0	nu.  	Leo
48774	0	0	phi  	Vel
48990	0	0	     	Sex
48926	0	0	eta  	Ant
49029	0	0	pi.  	Leo
49081	0	0	     	LMi
49329	0	0	     	Sex
49402	0	0	ups02	Hya
49530	0	0	     	Sex
49593	0	0	     	LMi
49583	0	0	eta  	Leo
49637	0	0	A    	Leo
49641	0	0	alf  	Sex
49669	0	0	alf  	Leo
49065	0	0	mu.  	Cha
49812	0	0	     	Sex
49712	0	0	Q    	Vel
49841	0	0	lam  	Hya
49865	0	0	     	Sex
49326	0	0	mu.02	Cha
49929	0	0	     	Leo
49751	0	0	S    	Car
50027	0	0	     	Sex
50222	0	0	U    	UMa
50100	0	0	     	Sex
50140	0	0	     	Sex
50218	0	0	     	LMi
50191	0	0	q    	Vel
50303	0	0	     	LMi
50083	0	0	M    	Car
50448	0	0	     	UMa
50316	0	0	     	LMi
50319	0	0	     	Leo
50372	0	0	lam  	UMa
50335	0	0	zet  	Leo
50333	0	0	     	Leo
50099	0	0	ome  	Car
50384	0	0	     	Leo
50414	0	0	eps  	Sex
50371	0	0	q    	Car
50564	0	0	     	Leo
50583	0	0	gam01	Leo
50684	0	0	     	Sex
50801	0	0	mu.  	UMa
50755	0	0	     	Leo
50676	0	0	J    	Vel
50860	0	0	     	LMi
50851	0	0	     	Leo
50799	0	0	r    	Vel
50935	0	0	     	LMi
50885	0	0	     	Sex
51047	0	0	     	LMi
51008	0	0	     	Leo
50847	0	0	L    	Car
51056	0	0	     	LMi
51069	0	0	mu.  	Hya
51117	0	0	     	Sex
51135	0	0	     	Sex
51233	0	0	bet  	LMi
51213	0	0	     	Leo
50954	0	0	I    	Car
51172	0	0	alf  	Ant
51401	0	0	     	UMa
51192	0	0	P    	Car
51459	0	0	     	UMa
51420	0	0	     	LMi
51232	0	0	s    	Car
51362	0	0	del  	Sex
51376	0	0	del  	Ant
51437	0	0	bet  	Sex
51451	0	0	     	Sex
51556	0	0	     	LMi
51585	0	0	     	Leo
51624	0	0	rho  	Leo
51523	0	0	Y    	Vel
51561	0	0	s    	Vel
51685	0	0	     	LMi
51614	0	0	phi01	Hya
51438	0	0	K    	Car
51576	0	0	p    	Car
51814	0	0	     	UMa
51635	0	0	t    	Vel
51718	0	0	     	Hya
51775	0	0	     	Leo
51802	0	0	     	Leo
51914	0	0	     	LMi
51821	0	0	U    	Ant
51905	0	0	phi02	Hya
51849	0	0	r    	Car
52032	0	0	     	LMi
52009	0	0	U    	Hya
51912	0	0	t01  	Car
52098	0	0	     	LMi
51986	0	0	p    	Vel
52139	0	0	     	LMi
52085	0	0	phi  	Hya
51839	0	0	gam  	Cha
52102	0	0	t02  	Car
52353	0	0	     	UMa
52154	0	0	x    	Vel
52316	0	0	     	Sex
52478	0	0	     	UMa
52401	0	0	     	Sex
52422	0	0	     	LMi
52457	0	0	     	LMi
52452	0	0	     	Sex
52419	0	0	the  	Car
52468	0	0	w    	Car
52650	0	0	     	UMa
52584	0	0	     	Sex
52685	0	0	     	UMa
52638	0	0	     	LMi
52660	0	0	     	Sex
52686	0	0	m    	Leo
52689	0	0	k    	Leo
52737	0	0	b01  	Hya
52727	0	0	mu.  	Vel
52882	0	0	     	LMi
52911	0	0	l    	Leo
52913	0	0	     	Sex
52959	0	0	     	LMi
52595	0	0	del01	Cha
52943	0	0	nu.  	Hya
52633	0	0	del02	Cha
53043	0	0	     	UMa
53064	0	0	     	UMa
52980	0	0	     	Sex
53261	0	0	     	UMa
53229	0	0	     	LMi
53295	0	0	ome  	UMa
53252	0	0	b03  	Hya
53273	0	0	p01  	Leo
53355	0	0	     	LMi
53377	0	0	     	LMi
53253	0	0	u    	Car
53426	0	0	     	UMa
53417	0	0	     	Leo
53423	0	0	     	Leo
53449	0	0	     	Leo
53492	0	0	     	LMi
53394	0	0	T    	Car
53502	0	0	iot  	Ant
53721	0	0	     	UMa
53740	0	0	alf  	Crt
53838	0	0	     	UMa
53807	0	0	d    	Leo
53773	0	0	i    	Vel
53824	0	0	c    	Leo
53910	0	0	bet  	UMa
53907	0	0	p02  	Leo
53954	0	0	b    	Leo
54061	0	0	alf  	UMa
54049	0	0	p03  	Leo
54136	0	0	     	UMa
54196	0	0	     	LMi
54182	0	0	chi  	Leo
53702	0	0	eta  	Oct
54204	0	0	chi01	Hya
54255	0	0	chi02	Hya
54347	0	0	     	LMi
54336	0	0	p04  	Leo
54388	0	0	     	Leo
54301	0	0	z    	Car
54487	0	0	     	Leo
54539	0	0	psi  	UMa
54463	0	0	x    	Car
54461	0	0	z02  	Car
54682	0	0	bet  	Crt
54742	0	0	psi  	Crt
54751	0	0	y    	Car
54849	0	0	p05  	Leo
54872	0	0	del  	Leo
54879	0	0	the  	Leo
54951	0	0	     	Leo
55016	0	0	n    	Leo
55084	0	0	phi  	Leo
55137	0	0	     	Leo
55203	0	0	ksi  	UMa
55219	0	0	nu.  	UMa
55266	0	0	     	UMa
55249	0	0	     	Leo
55282	0	0	del  	Crt
55434	0	0	sig  	Leo
55425	0	0	pi.  	Cen
55533	0	0	     	Leo
55560	0	0	     	UMa
55598	0	0	lam  	Crt
55642	0	0	iot  	Leo
55650	0	0	     	Leo
55687	0	0	eps  	Crt
55705	0	0	gam  	Crt
55765	0	0	     	Leo
55791	0	0	     	Leo
55846	0	0	     	Leo
55874	0	0	kap  	Crt
55945	0	0	tau  	Leo
56034	0	0	     	UMa
56080	0	0	     	Leo
56148	0	0	     	UMa
56127	0	0	e    	Leo
56146	0	0	     	Leo
56211	0	0	lam  	Dra
56242	0	0	     	Leo
56243	0	0	omi01	Cen
56250	0	0	omi02	Cen
56280	0	0	     	Crt
56343	0	0	ksi  	Hya
56445	0	0	     	Leo
56473	0	0	     	Leo
56480	0	0	A    	Cen
56583	0	0	     	Dra
56518	0	0	C01  	Cen
56573	0	0	C02  	Cen
56561	0	0	lam  	Cen
56633	0	0	the  	Crt
56647	0	0	ups  	Leo
56700	0	0	C03  	Cen
56770	0	0	     	UMa
56675	0	0	pi.  	Cha
56789	0	0	     	UMa
56779	0	0	ome  	Vir
56802	0	0	iot  	Crt
56922	0	0	omi  	Hya
56975	0	0	     	Leo
56997	0	0	     	UMa
57029	0	0	     	UMa
57111	0	0	     	Dra
57283	0	0	zet  	Crt
57328	0	0	ksi  	Vir
57380	0	0	nu.  	Vir
57399	0	0	chi  	UMa
57363	0	0	lam  	Mus
57565	0	0	     	Leo
57562	0	0	A01  	Vir
57581	0	0	mu.  	Mus
57632	0	0	bet  	Leo
57669	0	0	j    	Cen
57757	0	0	bet  	Vir
57803	0	0	B    	Cen
57936	0	0	bet  	Hya
58001	0	0	gam  	UMa
58112	0	0	     	UMa
58110	0	0	A02  	Vir
58117	0	0	     	UMa
58159	0	0	o    	Leo
58181	0	0	     	UMa
58188	0	0	eta  	Crt
58484	0	0	eps  	Cha
58510	0	0	b    	Vir
58590	0	0	pi.  	Vir
58587	0	0	     	Crt
58661	0	0	     	Com
58684	0	0	     	UMa
58758	0	0	the01	Cru
58799	0	0	     	Cen
58858	0	0	     	Com
58867	0	0	the02	Cru
58905	0	0	kap  	Cha
58948	0	0	omi  	Vir
59072	0	0	eta  	Cru
59184	0	0	E    	Cen
59196	0	0	del  	Cen
59199	0	0	alf  	Crv
59285	0	0	     	Vir
59309	0	0	     	Vir
59316	0	0	eps  	Crv
59352	0	0	     	Com
59394	0	0	     	Crv
59449	0	0	rho  	Cen
59468	0	0	     	Com
59458	0	0	     	UMa
59501	0	0	     	Com
59551	0	0	S    	Mus
59608	0	0	     	Vir
59654	0	0	D    	Cen
59708	0	0	     	CVn
59747	0	0	del  	Cru
59774	0	0	del  	UMa
59803	0	0	gam  	Crv
59819	0	0	     	Com
59831	0	0	     	CVn
59847	0	0	     	Com
59929	0	0	eps  	Mus
60000	0	0	bet  	Cha
60009	0	0	zet  	Cru
60030	0	0	     	Vir
60059	0	0	F    	Cen
60087	0	0	     	Com
60098	0	0	     	Com
60129	0	0	eta  	Vir
60122	0	0	     	CVn
60123	0	0	     	Com
60172	0	0	c    	Vir
60189	0	0	zet  	Crv
60202	0	0	     	Com
60260	0	0	eps  	Cru
60212	0	0	     	UMa
60320	0	0	zet02	Mus
60329	0	0	zet01	Mus
60351	0	0	     	Com
60353	0	0	     	Vir
60425	0	0	     	Crv
60449	0	0	x01  	Cen
60467	0	0	     	CVn
60485	0	0	     	CVn
60514	0	0	     	Com
60610	0	0	x02  	Cen
60584	0	0	     	UMa
60646	0	0	     	CVn
60718	0	0	alf01	Cru
60710	0	0	G    	Cen
60697	0	0	     	Com
60712	0	0	     	UMa
60742	0	0	gam  	Com
60746	0	0	     	Com
60823	0	0	sig  	Cen
60795	0	0	     	UMa
60855	0	0	u    	Cen
60891	0	0	     	Com
60904	0	0	     	Com
60941	0	0	     	Com
60957	0	0	     	Com
60965	0	0	del  	Crv
60978	0	0	     	UMa
60988	0	0	     	CVn
60992	0	0	     	UMa
61084	0	0	gam  	Cru
60998	0	0	     	Dra
61071	0	0	     	Com
61136	0	0	     	Cru
61199	0	0	gam  	Mus
61174	0	0	eta  	Crv
61246	0	0	     	Vir
61295	0	0	     	Com
61318	0	0	q    	Vir
61317	0	0	bet  	CVn
61404	0	0	BO   	Mus
61359	0	0	bet  	Crv
61281	0	0	kap  	Dra
61394	0	0	     	Com
61415	0	0	     	Com
61418	0	0	     	Com
61384	0	0	     	Dra
61585	0	0	alf  	Mus
61558	0	0	f    	Vir
61571	0	0	     	Com
61622	0	0	tau  	Cen
61692	0	0	     	CVn
61740	0	0	chi  	Vir
61724	0	0	     	Com
61789	0	0	l    	Cen
61932	0	0	gam  	Cen
61981	0	0	R    	Mus
61966	0	0	     	Cru
61937	0	0	     	Vir
61941	0	0	gam  	Vir
61960	0	0	rho  	Vir
61969	0	0	     	Vir
61968	0	0	d01  	Vir
62012	0	0	w    	Cen
61936	0	0	     	UMa
62268	0	0	iot  	Cru
62322	0	0	bet  	Mus
62207	0	0	     	CVn
62223	0	0	Y    	CVn
62267	0	0	d02  	Vir
62325	0	0	     	Vir
62356	0	0	     	Com
62434	0	0	bet  	Cru
62394	0	0	     	Vir
62443	0	0	     	Vir
62478	0	0	     	Com
62423	0	0	     	Dra
62541	0	0	     	Com
62516	0	0	     	CVn
62576	0	0	     	Com
63031	0	0	iot  	Oct
62683	0	0	p    	Cen
62757	0	0	     	Vir
62763	0	0	     	Com
62807	0	0	     	Com
62867	0	0	e    	Cen
62896	0	0	n    	Cen
62931	0	0	kap  	Cru
62875	0	0	     	Vir
62886	0	0	     	Com
63007	0	0	lam  	Cru
63005	0	0	mu.02	Cru
63003	0	0	mu.01	Cru
62933	0	0	     	Vir
62985	0	0	psi  	Vir
62956	0	0	eps  	UMa
63024	0	0	TU   	CVn
63090	0	0	del  	Vir
63210	0	0	H    	Cen
63121	0	0	alf01	CVn
63125	0	0	alf02	CVn
63076	0	0	     	Dra
63152	0	0	RY   	Dra
63355	0	0	     	Com
63414	0	0	k    	Vir
63613	0	0	del  	Mus
63462	0	0	     	Com
63494	0	0	     	Vir
63432	0	0	     	Dra
63533	0	0	     	Com
63503	0	0	     	UMa
63608	0	0	eps  	Vir
63724	0	0	ksi01	Cen
63750	0	0	     	Vir
63945	0	0	f    	Cen
64004	0	0	ksi02	Cen
63901	0	0	     	CVn
63948	0	0	     	Com
63950	0	0	     	Com
64094	0	0	the  	Mus
64022	0	0	     	Com
64078	0	0	     	Vir
64122	0	0	g    	Vir
64166	0	0	psi  	Hya
64224	0	0	     	Vir
64238	0	0	the  	Vir
64217	0	0	     	CVn
64241	0	0	alf  	Com
64246	0	0	     	CVn
64407	0	0	     	Vir
64394	0	0	bet  	Com
64520	0	0	     	Vir
64661	0	0	eta  	Mus
