HR	Name	HD	RA	DEC	mag	Type
5638	 46    Boo	134320	15 08 23.8	+26 18 04	5.67	 gK2
5639	          	134323	15 08 53.4	+13 14 06	6.1	 dG6
5640	          	134335	15 08 35.5	+25 06 31	5.81	  K1III
5641	          	134373	15 10 18.6	-26 19 58	5.76	  K0III
5642	          	134444	15 11 34.9	-45 16 39	6.44	  K1III
5643	          	134443	15 11 31.9	-45 16 46	7.39	  K0III
5644	          	134453	15 14 19.1	-70 04 46	5.81	"  C5,5"
5645	          	134468	15 13 01.0	-61 44 38	6.32	  K4Ib
5646	   Kap1Lup	134481	15 11 56.1	-48 44 16	3.87	  B9.5Vne
5647	   Kap2Lup	134482	15 11 57.6	-48 44 37	5.69	  A3IV
5648	          	134493	15 08 19.5	+50 03 18	6.39	  K0III
5649	   Zet Lup	134505	15 12 17.1	-52 05 57	3.41	  G8III
5650	          	134597	15 12 31.3	-48 13 07	6.33	  K2III
5651	          	134687	15 12 49.5	-44 30 02	4.82	  B3IV
5652	 24Iot1Lib	134759	15 12 13.3	-19 47 30	4.54	  A0pSi
5653	          	134837	15 13 07.4	-36 05 29	6.1	  B8V
5654	          	134943	15 12 04.3	+18 58 33	5.89	  M4IIIab
5655	          	134946	15 13 17.5	-24 00 30	6.47	  B9
5656	 25Iot2Lib	134967	15 13 19.2	-19 38 51	6.08	  A3Vn
5657	 23    Lib	134987	15 13 28.7	-25 18 33	6.45	  G4V
5658	          	135051	15 13 53.3	-26 11 37	5.84	 gG5
5659	          	135101	15 12 43.5	+19 17 09	6.68	  G5V
5660	  1    Lup	135153	15 14 37.3	-31 31 09	4.91	  F1II
5661	          	135160	15 16 36.4	-60 54 14	5.73	  B0.5Ve
5662	 26    Lib	135230	15 14 33.7	-17 46 07	6.17	  B9.5III
5663	          	135235	15 15 53.8	-48 04 27	5.95	  A3m
5664	   Del Cir	135240	15 16 56.7	-60 57 27	5.09	  O8.5V
5665	          	135263	15 13 31.9	+22 59 00	6.3	  A2V
5666	   Eps Cir	135291	15 17 38.9	-63 36 38	4.86	  K2.5III
5667	          	135345	15 16 04.0	-41 29 28	5.16	  G5Ia+B
5668	          	135348	15 16 10.5	-43 29 05	6.04	  B3IV
5669	          	135367	15 14 50.7	-05 30 10	6.28	  K2
5670	   Bet Cir	135379	15 17 30.8	-58 48 04	4.07	  A3V
5671	   Gam TrA	135382	15 18 54.6	-68 40 46	2.89	  A1V
5672	          	135384	15 10 44.1	+67 46 53	6.17	  A8Vn
5673	          	135402	15 13 35.6	+38 15 53	6.2	 gK2
5674	          	135438	15 14 06.1	+31 47 17	5.99	  K5
5675	  3    Ser	135482	15 15 11.4	+04 56 22	5.33	  K0III
5676	 48Chi Boo	135502	15 14 29.2	+29 09 51	5.26	  A2V
5677	          	135530	15 14 10.3	+42 10 17	6.13	  M2IIIa
5678	          	135534	15 16 23.0	-22 23 58	5.5	  K5III
5679	  4    Ser	135559	15 15 49.1	+00 22 20	5.63	  A4V
5680	          	135591	15 18 48.9	-60 29 47	5.46	  O7.5III((f))
5681	 49Del Boo	135722	15 15 30.2	+33 18 53	3.47	  G8IIIFe-1
5682	          	135730	15 18 09.4	-41 03 39	6.28	  Am
5683	   Mu  Lup	135734	15 18 32.0	-47 52 30	4.27	  B8Ve
5684	          	135737	15 20 40.7	-67 28 53	6.28	  B3V
5685	 27Bet Lib	135742	15 17 00.4	-09 22 59	2.61	  B8V
5686	  2    Lup	135758	15 17 49.9	-30 08 56	4.34	  G9IIIaFe1
5687	          	135876	15 18 56.4	-40 47 18	5.59	  B7V
5688	          	135896	15 18 41.3	-31 12 34	6.18	  G6-8III
5689	          	136014	15 19 31.6	-37 05 48	6.2	  G6III-IV
5690	          	136028	15 18 26.2	-00 27 41	5.89	  K5III
5691	          	136064	15 14 38.3	+67 20 48	5.13	  F9IV
5692	          	136138	15 18 24.5	+20 34 22	5.7	  G8IIIaBa0.3
5693	          	136174	15 14 51.9	+68 56 43	6.51	  A1Vn
5694	  5    Ser	136202	15 19 18.8	+01 45 55	5.06	  F8III-IV
5695	   Del Lup	136298	15 21 22.3	-40 38 51	3.22	  B1.5IV
5696	          	136334	15 21 35.3	-40 44 59	6.2	  A1V
5697	          	136347	15 21 30.1	-38 13 09	6.48	  A0pSi
5698	   Nu 1Lup	136351	15 22 08.3	-47 55 40	5	  F8V
5699	   Nu 2Lup	136352	15 21 48.2	-48 19 04	5.65	  G3-5V
5700	          	136359	15 23 10.4	-60 39 25	5.67	  F7V
5701	 28    Lib	136366	15 20 53.7	-18 09 31	6.17	  G8III
5702	          	136403	15 19 30.2	+32 30 55	6.32	  A2m
5703	 29Omi Lib	136407	15 21 01.4	-15 32 54	6.3	  F0III
5704	   Gam Cir	136415	15 23 22.7	-59 19 15	4.51	  B5IV+F8
5705	   Phi1Lup	136422	15 21 48.4	-36 15 41	3.56	  K5III
5706	          	136442	15 20 47.1	-02 24 48	6.35	  K0V
5707	          	136479	15 21 07.6	-05 49 29	5.54	  K1III
5708	   Eps Lup	136504	15 22 40.9	-44 41 22	3.37	  B2IV-V
5709	  1Omi CrB	136512	15 20 08.5	+29 36 58	5.51	  K0III
5710	  6    Ser	136514	15 21 02.0	+00 42 55	5.35	  K3III
5711	          	136643	15 21 06.9	+24 57 28	6.39	  K0
5712	   Phi2Lup	136664	15 23 09.4	-36 51 31	4.54	  B4V
5713	          	136672	15 26 14.7	-68 18 33	5.89	  G8-K0III
5714	 11    UMi	136726	15 17 05.9	+71 49 26	5.02	  K4III
5715	          	136729	15 20 05.2	+51 57 31	5.66	  A4V
5716	          	136751	15 20 41.6	+44 26 03	6.19	  F3-4IV s
5717	  7    Ser	136831	15 22 23.2	+12 34 03	6.28	  A0V
5718	 50    Boo	136849	15 21 48.6	+32 56 02	5.37	  B9Vn
5719	   Ups Lup	136933	15 24 44.9	-39 42 37	5.37	  A0pSi
5720	          	136956	15 23 52.2	-12 22 10	5.72	 gG6
5721	  8    Ser	137006	15 23 43.7	-01 01 21	6.12	  F0V
5722	          	137015	15 25 06.6	-38 10 10	7.03	  A2V
5723	 31Eps Lib	137052	15 24 11.9	-10 19 20	4.94	  F5IV
5724	          	137058	15 25 20.2	-38 44 01	4.6	  A0IV
5725	          	137066	15 27 33.1	-64 31 53	5.71	  K5-M0III
